Wavelength (nm),Position (mm),Counts
700,13.000005750000012,132340.0
700,13.002148875000012,132940.0
700,13.007816250000012,133300.0
700,13.018055625000013,133400.0
700,13.029961875000014,133640.0
700,13.046868750000014,133680.0
700,13.061870625000012,133800.0
700,13.079444250000012,133900.0
700,13.094065125000013,133960.0
700,13.111067250000012,134040.0
700,13.126259625000014,134060.0
700,13.143071250000013,134120.0
700,13.157454000000012,134120.0
700,13.174837125000012,134280.0
700,13.189839000000012,134280.0
700,13.206841125000013,134320.0
700,13.221652500000012,134360.0
700,13.239464250000013,134380.0
700,13.253656500000012,134460.0
700,13.271039625000013,134520.0
700,13.285851000000012,134620.0
700,13.302853125000013,134660.0
700,13.318045500000013,134900.0
700,13.335047625000012,134900.0
700,13.349430375000013,134920.0
700,13.367051625000013,134920.0
700,13.381243875000013,135020.0
700,13.398627000000012,135060.0
700,13.413247875000014,135060.0
700,13.429440375000013,135100.0
700,13.445632875000012,135140.0
700,13.462444500000013,135180.0
700,13.477446375000012,135180.0
700,13.494829500000014,135180.0
700,13.509640875000013,135300.0
700,13.526452500000014,135340.0
700,13.541835375000012,135360.0
700,13.558456500000014,135360.0
700,13.573267875000013,135480.0
700,13.590841500000012,135500.0
700,13.605033750000013,135500.0
700,13.622655000000012,135560.0
700,13.637656875000014,135620.0
700,13.654468500000013,135620.0
700,13.669851375000013,135620.0
700,13.686043875000014,135620.0
700,13.701236250000012,135760.0
700,13.716428625000013,135760.0
700,13.733430750000013,135780.0
700,13.750147125000012,135780.0
700,13.766101500000014,135800.0
700,13.797105375000012,135800.0
700,13.814488500000014,135800.0
700,13.861208625000014,135800.0
700,13.875353250000014,135800.0
700,13.937456250000013,135800.0
700,13.951934250000013,135980.0
700,14.030467875000014,136040.0
700,14.044850625000013,136040.0
700,14.135338125000013,136140.0
700,14.151054375000014,136140.0
700,14.259591750000014,136160.0
700,14.270497875000013,136180.0
700,14.397609000000015,136200.0
700,14.412610875000015,136220.0
700,14.553961875000015,136280.0
700,14.563915500000014,136320.0
700,14.719506375000014,136320.0
700,14.733412875000015,136460.0
700,14.903291250000015,136460.0
700,14.913530625000014,136500.0
700,15.104983125000015,136500.0
700,15.112222125000013,136500.0
700,15.318105000000013,136580.0
700,15.324772500000014,136600.0
700,15.547752750000015,136620.0
700,15.555372750000014,136660.0
700,15.791116500000015,136660.0
700,15.801403500000015,136660.0
700,16.049529750000016,136680.0
700,16.061197875000016,136700.0
700,16.324802250000015,136700.0
700,16.332708000000014,136740.0
700,16.613457375000014,136740.0
700,16.620982125000015,136740.0
700,16.919114625000017,136760.0
700,16.924305750000016,136800.0
700,17.240011875000015,136800.0
700,17.250918000000016,136840.0
700,17.571910500000016,136840.0
700,17.591198625000015,136880.0
700,17.925383250000017,137080.0
700,17.940385125000017,137120.0
700,18.28495200000002,137160.0
700,18.30462112500002,137160.0
700,18.681144375000017,137180.0
700,18.69124087500002,137200.0
700,19.078527375000018,137240.0
700,19.085909250000018,137280.0
700,19.491150375000018,137320.0
700,19.49824650000002,137340.0
700,19.90815487500002,137520.0
700,19.92858600000002,137520.0
700,21.75019462500002,137640.0
700,21.76819687500002,137680.0
700,22.24520887500002,137680.0
700,22.251209625000023,137680.0
700,22.725221250000022,137740.0
700,22.731222000000024,137780.0
700,23.19918525000002,137780.0
700,23.21418712500002,137800.0
700,23.676197250000023,137800.0
700,23.697199875000024,137840.0
700,24.159210000000023,137840.0
700,24.174211875000022,137880.0
700,24.642222750000023,137900.0
700,24.651223875000024,137940.0
700,25.119187125000025,138040.0
700,25.13418900000002,138100.0
700,25.60219987500002,138160.0
700,25.611201000000026,138200.0
700,26.079211875000027,138200.0
700,26.088213000000025,138260.0
700,26.559224250000025,138300.0
700,26.574178500000023,138300.0
700,27.033188250000027,138340.0
700,27.045189750000024,138360.0
700,27.519201375000026,138420.0
700,27.534203250000026,138440.0
700,27.987212250000024,138500.0
700,28.011215250000028,138540.0
700,28.458223500000024,138560.0
700,28.485179250000026,138560.0
700,28.941188625000027,138700.0
700,28.959190875000026,138700.0
700,29.436202875000028,138780.0
700,29.439203250000027,138780.0
700,29.913214875000026,138840.0
700,29.91921562500003,138840.0
700,30.38717887500003,138980.0
700,30.39618000000003,138980.0
700,30.86419087500003,139140.0
700,30.876192375000027,139140.0
700,31.329201375000032,139180.0
700,31.36520587500003,139260.0
700,31.824215625000026,139260.0
700,31.839217500000032,139280.0
700,32.30418037500003,139280.0
700,32.31918225000003,139300.0
700,32.78719312500003,139400.0
700,32.79019350000003,139400.0
700,33.27320625000004,139420.0
700,33.27320625000004,139420.0
700,33.74421750000003,139500.0
700,33.74721787500003,139500.0
700,34.215181125000036,139780.0
700,34.23618375000003,139880.0
700,34.71019537500003,139940.0
700,34.71319575000003,140160.0
700,35.187207375000035,140200.0
700,35.19620850000003,140220.0
700,35.66121900000004,140260.0
700,35.676220875000034,140260.0
700,36.15018487500003,140400.0
700,36.153185250000035,140420.0
700,36.63019725000004,140660.0
