Wavelength (nm),Position (mm),Counts
655,99.9936405000001,17540.0
655,99.9705423750001,17540.0
655,99.9340616250001,16860.0
655,99.8815788750001,17500.0
655,99.8133798750001,18040.0
655,99.72570225000008,17600.0
655,99.6325953750001,17600.0
655,99.51758100000009,17440.0
655,99.3894697500001,16960.0
655,99.2424990000001,18000.0
655,99.08705100000009,18420.0
655,98.9113623750001,18420.0
655,98.7190050000001,19140.0
655,98.51769412500009,18700.0
655,98.29599975000009,17740.0
655,98.0633992500001,17280.0
655,97.81108200000008,17280.0
655,97.5552405000001,17920.0
655,97.26729975000009,18300.0
655,96.9671193750001,18240.0
655,96.6573187500001,18560.0
655,96.33661200000009,18560.0
655,95.91779775000009,18280.0
655,95.6329050000001,17880.0
655,95.26262062500008,17560.0
655,94.88471625000008,17860.0
655,94.47433162500009,17860.0
655,94.05608887500009,17320.0
655,93.62813062500008,17180.0
655,93.18245587500009,17580.0
655,92.71282575000009,18460.0
655,92.23519462500009,18460.0
655,91.74918150000008,19320.0
655,91.27221712500008,19380.0
655,90.78920437500008,18020.0
655,90.30619162500008,16840.0
655,89.83818075000008,16840.0
655,89.35221525000009,16860.0
655,88.87220287500008,17200.0
655,88.38618975000009,17440.0
655,87.91822650000009,17140.0
655,87.43821412500009,17140.0
655,86.96120212500009,16560.0
655,86.47518900000007,16420.0
655,86.00722575000009,17420.0
655,85.53021375000009,17820.0
655,85.04720100000009,17820.0
655,84.53718487500008,17640.0
655,84.08422350000008,16780.0
655,83.61321225000009,17560.0
655,83.11819800000008,17940.0
655,82.64718675000007,17940.0
655,82.17022237500008,17900.0
655,81.69621075000008,17480.0
655,81.20119650000007,17480.0
655,80.73318562500008,17460.0
655,80.25922162500007,17460.0
655,79.77320850000008,17920.0
655,79.28719537500008,18020.0
655,78.81918450000006,18080.0
655,78.33321900000008,17440.0
655,77.85320662500007,17440.0
655,77.37319425000007,17620.0
655,76.91118412500008,17880.0
655,76.41921787500007,17940.0
655,75.94220587500007,17440.0
655,75.47119462500007,17440.0
655,74.97618037500007,17480.0
655,74.49621562500008,17380.0
655,74.01920362500007,17900.0
655,73.54219162500007,17560.0
655,73.07418075000007,17560.0
655,72.58521487500006,18160.0
655,72.09020062500008,17820.0
655,71.63119087500007,16700.0
655,71.15122612500006,17440.0
655,70.66521300000007,17440.0
655,70.18520062500006,18080.0
655,69.71718975000006,18500.0
655,69.23422462500007,17840.0
655,68.75421225000007,16940.0
655,68.28020062500006,16940.0
655,67.79418750000006,18500.0
655,67.30822200000007,18960.0
