Wavelength (nm),Position (mm),Counts
655,99.9938786250001,21220.0
655,99.97149487500009,21240.0
655,99.93349012500009,19840.0
655,99.8823408750001,19980.0
655,99.81290362500009,20080.0
655,99.73256025000009,20080.0
655,99.6325953750001,20820.0
655,99.51605700000009,21800.0
655,99.3911842500001,22420.0
655,99.2482140000001,21780.0
655,99.08705100000009,21780.0
655,98.91822037500009,20640.0
655,98.7214815000001,20380.0
655,98.5150271250001,21200.0
655,98.2917135000001,20840.0
655,98.06792362500009,21040.0
655,97.81589212500009,21040.0
655,97.5552405000001,20880.0
655,97.27992037500009,21080.0
655,96.9804067500001,20220.0
655,96.67127287500008,20220.0
655,96.3428508750001,20900.0
655,96.00337987500009,20740.0
655,95.6511453750001,20220.0
655,95.26500187500008,20380.0
655,94.88714512500009,20380.0
655,94.48714275000009,20580.0
655,94.06408987500009,22480.0
655,93.63365512500009,22300.0
655,93.18245587500009,21700.0
655,92.72758950000008,21700.0
655,92.24119537500009,21060.0
655,91.77318450000008,20520.0
655,91.28721900000009,21120.0
655,90.7982055000001,20420.0
655,90.32719425000009,20420.0
655,89.85018225000009,20840.0
655,89.36721712500008,21580.0
655,88.88720475000008,21400.0
655,88.41619350000009,20380.0
655,87.93618112500008,20040.0
655,87.45621637500008,20040.0
655,86.97320362500008,20720.0
655,86.50219237500008,22760.0
655,86.02218000000009,23240.0
655,85.53921487500007,22680.0
655,85.05620212500008,22680.0
655,84.57618975000008,22040.0
655,84.10822650000007,21460.0
655,83.61021187500008,21060.0
655,83.13920062500007,20020.0
655,82.65918825000008,20020.0
655,82.18822462500009,21060.0
655,81.70821225000007,21860.0
655,81.22219912500007,22120.0
655,80.74218675000007,22540.0
655,80.26522237500006,22540.0
655,79.75820662500007,21940.0
655,79.30519762500008,21240.0
655,78.82818562500007,20780.0
655,78.34522050000008,20780.0
655,77.86520812500007,21900.0
655,77.39119650000008,22140.0
655,76.89018150000007,22160.0
655,76.43121937500007,20520.0
655,75.95720775000008,20520.0
655,75.47719537500006,21240.0
655,74.99718300000006,21400.0
655,74.50821712500007,21940.0
655,74.03420550000007,23380.0
655,73.55719350000008,23380.0
655,73.08318187500007,23380.0
655,72.58221450000008,22680.0
655,72.12320475000007,21280.0
655,71.63419125000006,21720.0
655,71.15717925000007,21720.0
655,70.66821337500006,21020.0
655,70.20020250000007,21460.0
655,69.69918750000006,21700.0
655,69.23722500000007,22020.0
655,68.76921412500006,23600.0
655,68.27720025000006,23600.0
655,67.79418750000006,24260.0
655,67.32622425000007,23680.0
655,66.84621187500007,23120.0
655,66.35419800000005,23120.0
655,65.88618712500006,22480.0
655,65.40922275000007,21340.0
655,64.92621000000007,22320.0
655,64.44919800000005,23280.0
655,63.978186750000056,23280.0
655,63.495221625000056,24120.0
655,63.01520925000006,23920.0
655,62.53819725000007,23580.0
655,62.049183750000054,23180.0
655,61.57521975000006,23180.0
655,61.09820775000006,23560.0
655,60.61519500000006,25160.0
655,60.135182625000056,25240.0
655,59.66121862500005,25460.0
655,59.18120625000005,24860.0
655,58.656188250000056,24860.0
655,58.20918000000005,25900.0
655,57.72621487500005,25860.000000000004
655,57.22519987500006,26060.000000000004
655,56.77819162500005,26300.0
655,56.28322500000005,26300.0
655,55.83021600000005,27160.000000000004
655,55.34720325000005,28020.0
655,54.870191250000055,28680.0
655,54.393179250000045,29440.0
655,53.91021412500005,29440.0
655,53.42720137500005,30060.0
655,52.947189000000044,30080.0
655,52.45822312500005,30500.0
655,51.99021225000005,31320.0
655,51.510199875000055,31320.0
655,51.030187500000046,31740.0
655,50.553223125000045,32240.0
655,50.07321075000005,34160.0
655,49.59619875000005,34880.0
655,49.11918675000004,34880.0
655,48.639222000000046,35060.0
655,48.15020850000005,36600.0
655,47.67919725000005,36920.0
655,47.20218525000004,38800.0
655,46.72522087500004,38800.0
655,46.23320700000005,40400.0
655,45.75919537500004,41060.0
655,45.285183750000044,41620.0
655,44.81422012500004,43660.0
655,44.319205875000044,43660.0
655,43.84519425000004,45820.0
655,43.35918112500004,47360.0
655,42.88521712500004,48280.0
655,42.405204750000046,50740.0
655,41.93419350000004,50740.0
655,41.45718150000004,52940.0
655,40.97421637500004,56540.0
655,40.49420400000004,59740.0
655,40.01419162500004,60300.0
655,39.540180000000035,60300.0
655,38.132289750000034,68600.0
655,37.692425250000035,70800.0
655,37.25713275000003,70800.0
655,36.85032000000003,73300.0
655,36.453508500000034,77400.0
655,36.071937000000034,82740.0
655,35.70565312500003,86180.0
655,35.34603675000003,86180.0
655,35.01675750000003,87620.0
655,34.69633650000004,92120.0
655,34.38739312500003,95680.0
655,34.10121450000003,100160.0
655,33.82651350000003,100160.0
655,33.56867175000003,103640.00000000001
655,33.330308625000036,110220.0
655,33.09818437500003,115660.0
655,32.884205250000036,121560.0
655,32.685513750000034,121560.0
655,32.50320525000003,122040.0
655,32.33089800000003,123860.0
655,32.180974500000026,126400.0
655,32.044147875000036,126280.0
655,31.923037500000028,126280.0
655,31.81683375000003,127060.0
655,31.722345750000034,130300.0
655,31.645621875000028,135680.0
655,31.585471500000033,140400.0
655,31.538846625000033,140400.0
655,31.505032875000033,141900.0
655,31.47326700000003,140400.0
655,31.440834375000033,140520.0
655,31.407830250000032,139740.0
655,31.37682637500003,139740.0
655,31.34406037500003,140800.0
655,31.312866000000028,141220.0
655,31.281671625000026,142760.0
655,31.24942950000003,143400.0
655,31.21723500000003,143400.0
655,31.185659625000028,143460.0
655,31.15303650000003,145220.0
655,31.12127062500003,143620.0
655,31.089457125000028,147000.0
655,31.05783412500003,147000.0
655,31.02563962500003,147020.0
655,30.993635625000028,147880.0
655,30.96144112500003,148060.0
655,30.92924662500003,148280.0
655,30.89786175000003,148280.0
655,30.866048250000027,147060.0
655,30.83404425000003,147180.0
655,30.80104012500003,147520.0
655,30.770274375000028,149120.0
655,30.73784175000003,149120.0
655,30.70564725000003,149340.0
655,30.674071875000028,151600.0
655,30.64206787500003,155420.0
655,30.61006387500003,155680.0
655,30.57863137500003,155680.0
655,30.54624637500003,154420.0
655,30.51367087500003,153700.0
655,30.48223837500003,154280.0
655,30.450234375000026,154660.0
655,30.417849375000028,154660.0
655,30.38584537500003,153820.0
655,30.35403187500003,153640.0
655,30.32307562500003,156080.0
655,30.29064300000003,156240.0
655,30.25906762500003,156240.0
655,30.227063625000028,158240.0
655,30.19425000000003,159080.0
655,30.163055625000027,158340.0
655,30.13105162500003,158480.0
655,30.09966675000003,158480.0
655,30.06704362500003,158260.0
655,30.035039625000028,158520.0
655,30.003273750000027,162480.0
655,29.97146025000003,165140.0
655,29.939456250000028,165140.0
655,29.90707125000003,164720.0
655,29.87506725000003,162760.0
655,29.842634625000027,161160.0
655,29.81163075000003,161960.0
655,29.779864875000026,161960.0
655,29.747432250000028,164880.0
655,29.71504725000003,165680.0
655,29.683043250000026,161880.0
655,29.651277375000028,162400.0
655,29.61946387500003,162400.0
655,29.58745987500003,165900.0
655,29.55607500000003,167540.0
655,29.524261500000026,164760.0
655,29.49187650000003,163880.0
655,29.459872500000028,163880.0
655,29.428440000000027,166500.0
655,29.395245375000027,166600.0
655,29.364241500000027,167140.0
655,29.332237500000026,167860.0
655,29.30066212500003,167860.0
655,29.268658125000027,170940.0
655,29.23684462500003,173040.0
655,29.205078750000027,171960.0
655,29.172836625000027,175120.0
655,29.140642125000028,175120.0
655,29.108257125000026,179380.0
655,29.076443625000028,177580.0
655,29.045058750000027,176220.0
655,29.012673750000026,176040.0
655,28.98105075000003,176040.0
655,28.948665750000025,177560.0
655,28.916042625000028,179300.0
655,28.88546737500003,182380.0
655,28.853463375000025,180920.0
655,28.82084025000003,180920.0
655,28.789645875000026,179800.0
655,28.75764187500003,182160.0
655,28.725876000000028,183880.0
655,28.693633875000028,185080.0
655,28.66143937500003,185080.0
655,28.628054250000027,185320.0
655,28.598050500000028,186920.0
655,28.566046500000027,188120.0
655,28.533661500000026,185380.0
655,28.50103837500003,185380.0
655,28.47008212500003,187000.0
655,28.437078000000025,190800.0
655,28.40583600000003,190780.0
