Wavelength (nm),Power (mW),Position (mm)
655,0.000566943015,99.9932595000001
655,0.000569395581,99.9398242500001
655,0.000582884752,99.81990450000009
655,0.000599235307,99.5091990000001
655,0.000631323076,99.07762125000009
655,0.000649104209,98.47487925000009
655,0.000677921946,98.10116587500009
655,0.00073106105,97.59605512500009
655,0.000781134474,96.75833137500008
655,0.000815470571,95.8333110000001
655,0.000860025636,95.4333086250001
655,0.0009356464830000001,94.79532412500009
655,0.00103415834,93.8313465000001
655,0.00108811491,92.7793102500001
655,0.0011541299,92.23533750000009
655,0.00124630594,91.60330612500009
655,0.0013104814799999999,90.81930337500009
655,0.0014306575599999998,89.87732850000009
655,0.00151690654,89.35531087500009
655,0.0016587470099999999,88.72932787500008
655,0.00182756571,87.83931187500009
655,0.00195019447,86.80332525000007
655,0.00207670632,86.16134025000008
655,0.00222856147,85.51730737500009
655,0.00242742431,84.77330962500008
655,0.00256987823,83.83933575000007
655,0.00283107715,82.84930725000007
655,0.0031076046999999997,81.88732987500008
655,0.00330565013,81.37531350000008
655,0.00352392931,80.73132825000008
655,0.00376346384,80.09334375000007
655,0.00397724671,79.44731062500007
655,0.00444875377,78.79332412500008
655,0.00487284433,77.83734750000006
655,0.00545430885,76.79531250000008
655,0.00577355195,75.83533537500007
655,0.0063750458099999996,74.85730837500007
655,0.00684226097,74.32533712500008
655,0.00755125893,73.70530725000008
655,0.008240840539999999,72.76733287500006
655,0.011501751,71.82931087500006
655,0.012286222,68.93533012500006
655,0.0131014167,68.26534162500006
655,0.0142402305,67.62930975000006
655,0.0149448233,66.81330300000006
655,0.0159668871,66.34533975000006
655,0.0175870373,65.71130812500006
655,0.0189757357,64.79733675000006
655,0.0203787713,64.09534425000007
655,0.0218022924,63.47731462500006
655,0.0241393172,62.829328875000066
655,0.0269740685,61.82734650000006
655,0.0298579707,60.79531275000006
655,0.0317157137,59.84533687500006
655,0.0353205942,58.87931137500006
655,0.0377661818,58.367342625000056
655,0.0416926341,57.71730900000006
655,0.0463789802,56.79333637500005
655,0.0515814827,55.815309375000055
655,0.0579453263,54.83132925000005
655,0.0646696644,53.83134712500005
655,0.0681127276,52.777310625000055
655,0.0729527019,52.28534437500005
655,0.0794558218,51.65531325000005
655,0.0834498715,50.81530350000005
655,0.0898710641,50.37534375000004
655,0.11519309900000001,49.71730912500005
655,0.119782409,47.63533462500005
655,0.127895633,47.177325000000046
655,0.137238152,46.52933925000004
655,0.147461629,45.849301875000045
655,0.157172923,45.16131112500004
655,0.17020326,44.61133762500004
655,0.179177005,43.84333687500004
655,0.191428815,43.33932150000004
655,0.20915087999999998,42.707337750000036
655,0.218288507,41.84332500000004
655,0.23367497499999998,41.41931962500004
655,0.259469292,40.77533437500004
655,0.27819527899999996,39.82931137500004
655,0.297474442,39.17932537500004
655,0.32046195699999996,38.53534012500004
655,0.358303223,37.82734687500004
655,0.379958976,36.78131137500004
655,0.42185685,35.861339250000036
655,0.451728294,35.357323875000034
655,0.49624859800000004,34.705337625000034
655,0.523456663,33.82732312500003
655,0.554987637,33.43532175000003
655,0.611001684,32.799337500000036
655,0.684942701,31.82331075000003
655,0.7618545210000001,30.81332737500003
655,0.8515917,29.823346500000028
655,0.8921374679999999,28.759308750000027
655,1.15265977,27.86934037500003
655,1.22811692,26.127313125000022
655,1.31195819,25.447323375000025
655,1.4544884900000001,24.801337875000023
655,1.64057501,23.841313125000024
655,1.86571968,22.80132600000002
655,2.00518244,21.86106562500002
655,2.23830226,20.97528825000002
655,2.39289738,20.62562550000002
655,2.5867547400000004,20.22152737500002
655,2.66732415,19.74737287500002
655,2.91557633,19.231689375000016
655,2.9924647,19.098434625000017
655,3.04011139,18.985992000000017
655,3.06567247,18.884979375000018
655,3.0965507,18.828972375000017
655,3.13581317,18.76458337500002
655,3.15585313,18.677001000000015
655,3.20452196,18.589990125000018
655,3.23519553,18.540984000000016
655,3.28202383,18.47640450000002
655,3.33887246,18.38577412500002
655,3.37404502,18.280808625000017
655,3.4088084899999997,18.220801125000015
655,3.45461443,18.156793125000018
655,3.5104406999999997,18.079783500000016
655,3.5419322099999997,17.985581250000017
655,3.60164326,17.883997125000015
655,3.6431551,17.837419875000016
655,3.70204845,17.773221375000016
655,3.73210874,17.685400875000017
655,3.78036825,17.645205375000018
655,3.86175606,17.581197375000016
655,3.9365999400000002,17.479184625000016
655,4.0186001000000005,17.384982375000018
655,4.10101004,17.28458887500002
655,4.1410909,17.185576500000014
655,4.21838788,17.083801875000017
655,4.26726136,17.038986750000017
655,4.3419003499999995,16.973216625000017
655,4.42553731,16.883205375000017
655,4.5157182,16.78562175000002
655,4.59792325,16.680989625000016
655,4.68626339,16.585596750000015
655,4.73677274,16.485203250000016
655,4.7919852700000005,16.430005875000013
655,4.87050973,16.366998000000013
655,4.90977196,16.279796625000017
655,4.97091468,16.239601125000018
655,5.062323060000001,16.174021500000013
655,5.16150054,16.082819625000017
655,5.26967645,15.985998000000015
655,5.329387260000001,15.879222750000014
655,5.399118639999999,15.823596750000016
655,5.47927991,15.760398375000015
655,5.5367406500000005,15.683198250000016
655,5.644303750000001,15.587995875000015
655,5.71751129,15.536418000000015
655,5.81546221,15.471981375000015
655,5.8629047100000005,15.385399125000015
655,5.939997269999999,15.344013000000015
655,6.01320527,15.280386000000014
655,6.087640769999999,15.214615875000014
655,6.17495738,15.153227250000013
655,6.28640456,15.079218000000013
655,6.40869047,14.985587250000014
655,6.473719610000001,14.886003375000014
655,6.58823317,14.788229250000013
655,6.6649178,14.737222875000015
655,6.76511927,14.674215000000013
655,6.88801706,14.584584750000015
655,7.0105083299999995,14.482000500000014
655,7.1415863900000005,14.385417000000013
655,7.26121385,14.280022875000013
655,7.336670529999999,14.185630125000014
655,7.41315028,14.126003625000013
655,7.51764514,14.066424750000012
655,7.57776573,13.984795500000013
655,7.66447,13.939027875000013
655,7.79064093,13.874400750000014
655,7.8454445999999995,13.786389750000014
655,7.93705694,13.746003750000014
655,8.07488244,13.683615000000014
655,8.16322304,13.585793250000012
655,8.25054105,13.523214000000012
655,8.350742050000001,13.459206000000014
655,8.424563330000002,13.385815875000013
655,8.55441485,13.284993750000012
655,8.68528895,13.189029375000011
655,8.76544975,13.138213500000013
655,8.8693304,13.074396000000013
655,8.94253887,12.986813625000012
655,8.9985691,12.915233250000012
655,9.045806709999999,12.851606250000012
655,9.41147562,12.785598000000013
655,9.30110645,12.543424875000012
655,9.25001036,12.500229000000012
655,9.21935216,12.435411375000012
655,9.227527310000001,12.371593875000013
655,9.20095854,12.281201625000012
655,9.20504611,12.186237375000012
655,9.198913350000002,12.082414875000012
655,9.19687096,11.983402500000011
655,9.19278339,11.87843700000001
655,9.17847548,11.828430750000011
655,9.17643309,11.76523237500001
655,9.186650629999999,11.685793875000012
655,9.188695809999999,11.63721637500001
655,9.186650629999999,11.572827375000012
655,9.172342720000001,11.48162550000001
655,9.17643309,11.38599450000001
655,9.16825514,11.28622012500001
655,9.174387900000001,11.22202162500001
655,9.17643309,11.15901375000001
655,9.186650629999999,11.081194500000011
655,9.188695809999999,10.987039875000011
655,9.18460824,10.89140887500001
655,9.18460824,10.839640500000009
655,9.18460824,10.775013375000011
655,9.172342720000001,10.68081112500001
655,9.17847548,10.61442187500001
655,9.174387900000001,10.55041387500001
655,9.172342720000001,10.486405875000012
655,9.18256305,10.38682200000001
655,9.17847548,10.27780837500001
655,9.18052066,10.18760662500001
655,9.18052066,10.08683212500001
655,9.174387900000001,10.040207250000009
655,9.16621275,9.97543725000001
660,0.000662488787,99.9931166250001
660,0.000665927587,99.9406338750001
660,0.000683324515,99.73760850000009
660,0.000709419908,99.4181400000001
660,0.0007310649149999999,98.93855625000009
660,0.000761003832,98.5388872500001
660,0.0007984274360000001,98.09968950000008
660,0.000838076176,97.46742000000009
660,0.000895121843,96.59331075000009
660,0.000983117729,95.64133462500008
660,0.00103692696,95.10931575000009
660,0.00112998009,94.47733200000009
660,0.00120381571,93.53130900000009
660,0.00127866292,92.86132050000009
660,0.00136301776,92.24133825000008
660,0.00149450602,91.53334500000008
660,0.00165512415,90.5733202500001
660,0.00172956675,89.52733237500009
660,0.00190252445,88.5633071250001
660,0.00203138302,88.0693406250001
660,0.00215983709,87.44331000000008
660,0.0022953711300000004,86.80732575000008
660,0.00244263788,86.16934125000009
660,0.00266899997,85.52330812500009
660,0.00292752634,84.57333225000008
660,0.00324876237,83.57330250000008
660,0.00358294483,82.55331787500008
660,0.00375711647,81.51533100000007
660,0.00400148247,81.03731887500008
660,0.00435043194,80.41733662500008
660,0.0045407869000000005,79.56732562500008
660,0.00481994675,79.13731950000007
660,0.0053758385499999995,78.49133400000008
660,0.00590543277,77.52330825000007
660,0.00659180159,76.56333112500008
